name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
McDermott Intl/Lummus 12/24 Cov-Lite TLB,N/A,McDermott Intl/Lummus 12/24 Cov-Lite TLB,45232UAG3,,,LX255857,1826816.69,PA,USD,1830963.56,0.398129611812,Long,LON,CORP,US,N,2,2029-12-31,Floating,7.32681,N,N,N,N,N,N
CHG Healthcare 12/24 Cov-Lite TLB1,N/A,CHG Healthcare 12/24 Cov-Lite TLB1,12541HAW3,,,LX255579,1127578.7,PA,USD,1131029.09,0.245933989287,Long,LON,CORP,US,N,2,2028-09-29,Floating,7.33268159,N,N,N,N,N,N
Qualtrics 2/25 Cov-Lite TLB,N/A,Qualtrics 2/25 Cov-Lite TLB,74773KAE5,,,LX259146,1969924.85,PA,USD,1974849.66,0.429416590095,Long,LON,CORP,US,N,2,2030-06-28,Floating,6.54560999,N,N,N,N,N,N
Jo-Ann Stores Exit TL,N/A,Jo-Ann Stores Exit TL,63988HAH9,,,LX231593,127538.96,PA,USD,30609.35,0.006655778902,Long,LON,CORP,US,N,2,2028-04-28,Floating,15.9999984,Y,N,N,N,N,N
TICP 2020-15A SUB,N/A,TICP 2020-15A SUB,87250TAB6,US87250TAB61,,,21000000,PA,USD,13394010,2.912429345077,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Tallgrass Energy 12/24 TLB,N/A,Tallgrass Energy 12/24 TLB,73955HAE4,,,LX256005,1386082.75,PA,USD,1393442.85,0.302993938859,Long,LON,CORP,US,N,2,2029-08-01,Floating,8.57680919,N,N,N,N,N,N
Oaktree CLO Ltd,N/A,OAKCL 2019-3A SUB,67400GAC3,US67400GAC33,OAKCL,,4000000,PA,USD,2434800,0.529429421763,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
OCP CLO Ltd,254900KJTZSIMELS6Y52,OCP 2022-24A SUB,67119NAC0,US67119NAC02,OCP,,7445299,PA,USD,4787476.16,1.041001616188,Long,ABS-O,CORP,JE,Y,2,,,,,,,N,N,N
Recette CLO LLC,549300392I5L5XOJ0016,RCTTE 2015-1A YRR,75620RAH5,US75620RAH57,RCTTE,,10400000,PA,USD,145494.96,0.031636813102,Long,ABS-O,CORP,KY,Y,3,,,,,,,N,N,N
New Arclin/ARC Falcon 9/21 Cov-Lite TL,N/A,New Arclin/ARC Falcon 9/21 Cov-Lite TL,03880YAC8,,,LX197411,371652.73,PA,USD,372537.26,0.081005497842,Long,LON,CORP,US,N,2,2028-09-30,Floating,7.9268112,N,N,N,N,N,N
